real_profitability,order_sum,indicator_1,indicator_2
-1.4301798267833095,1,11,27
-1.6941259026973245,1,11,28
-1.893189728661335,1,11,29
-1.8083541274156343,1,11,30
-1.0805498947879604,1,11,31
-0.9087854150902672,1,11,32
-0.3871937595046758,1,11,33
0.14794505569510163,1,11,34
-0.15357901081139938,1,11,35
-0.18896454271438656,1,11,36
-1.0085083063209002,1,11,37
-0.6880099489173668,1,11,38
-2.49879543559268,6,12,13
-1.2895491544811877,5,12,14
-0.5720951753037036,3,12,15
-0.6328055899149283,2,12,16
-1.1316435409089927,2,12,17
-0.8443287976664723,2,12,18
-1.2044596558434277,3,12,19
-0.6903028661920874,3,12,20
-0.8935621415329711,3,12,21
-0.8124312432723364,1,12,22
-1.0347921793211363,1,12,23
-0.8225522638779912,1,12,24
-1.4087313668792691,1,12,25
-1.2962557559114853,1,12,26
-1.4301798267833095,1,12,27
-1.6941259026973245,1,12,28
-1.893189728661335,1,12,29
-1.3104265826021493,1,12,30
-1.0805498947879604,1,12,31
-0.9087854150902672,1,12,32
-0.3871937595046758,1,12,33
0.6775945042044382,1,12,34
-0.15357901081139938,1,12,35
-0.18896454271438656,1,12,36
-1.0085083063209002,1,12,37
-0.6880099489173668,1,12,38
0.5912845455533824,1,12,39
-0.13424097674544344,1,12,40
-0.48926929530201707,1,12,41
-1.0229236857473523,5,13,14
-1.441479114669711,5,13,15
-1.1577513953915133,4,13,16
-0.5695681870112963,2,13,17
-0.5608608616339531,2,13,18
-0.28253733720050445,3,13,19
-0.8998174092886434,3,13,20
-0.5593871534886625,2,13,21
-0.8124312432723364,1,13,22
-1.0347921793211363,1,13,23
-0.8225522638779912,1,13,24
-1.4087313668792691,1,13,25
-1.2962557559114853,1,13,26
-1.4301798267833095,1,13,27
-1.1956214161569396,1,13,28
-1.3956906698757645,1,13,29
-1.3104265826021493,1,13,30
-1.0805498947879604,1,13,31
-0.8736540779375283,1,13,32
-0.3871937595046758,1,13,33
0.6775945042044382,1,13,34
-0.15357901081139938,1,13,35
-0.18896454271438656,1,13,36
-1.0085083063209002,1,13,37
0.2929932759274897,1,13,38
0.8522108338769254,1,13,39
-0.23113498546590788,1,13,40
-0.6610813758389262,1,13,41
-2.6277265575951545,6,14,15
-2.872058264468066,5,14,16
-2.1988662168574082,5,14,17
0.1218664768730574,2,14,18
0.47227469037932013,2,14,19
0.5330171369389416,2,14,20
-0.7749539816782433,1,14,21
-0.8124312432723364,1,14,22
-1.0347921793211363,1,14,23
-0.8225522638779912,1,14,24
-1.4087313668792691,1,14,25
-1.2962557559114853,1,14,26
-0.9303422064642826,1,14,27
-1.1956214161569396,1,14,28
-1.3956906698757645,1,14,29
-1.275437079453095,1,14,30
-1.0454792138772029,1,14,31
-0.8736540779375283,1,14,32
-0.3871937595046758,1,14,33
0.6775945042044382,1,14,34
-0.15357901081139938,1,14,35
-0.4849510739694713,1,14,36
-1.0085083063209002,1,14,37
0.5531488272675562,1,14,38
0.580412616873229,1,14,39
-0.4033910009689456,1,14,40
-0.29866526845636976,1,14,41
-1.656583235443919,6,15,16
-1.7365238418798945,6,15,17
-1.4486169772616146,5,15,18
-0.6318936984706767,3,15,19
0.7165487537528923,2,15,20
-0.7749539816782433,1,15,21
-1.2968230624327268,1,15,22
-1.0347921793211363,1,15,23
-1.3525254948219483,1,15,24
-1.4087313668792691,1,15,25
-0.7957417144635055,1,15,26
-0.9303422064642826,1,15,27
-1.1605913711568059,1,15,28
-1.3607312765556991,1,15,29
-1.275437079453095,1,15,30
-1.0454792138772029,1,15,31
-0.349386431196636,1,15,32
0.13963656854224948,1,15,33
0.35270644042809285,1,15,34
-0.15357901081139938,1,15,35
-0.4849510739694713,1,15,36
-1.0085083063209002,1,15,37
-0.36808809991143654,2,15,38
0.580412616873229,1,15,39
-0.04003846826721158,1,15,40
-1.9485397444358994,6,16,17
-1.8013257804062348,5,16,18
-2.2008762170558303,5,16,19
-0.7560181671263378,3,16,20
-0.8095709063081264,2,16,21
-1.2968230624327268,1,16,22
-1.0347921793211363,1,16,23
-1.3525254948219483,1,16,24
-1.4087313668792691,1,16,25
-0.7957417144635055,1,16,26
-0.9303422064642826,1,16,27
-1.1605913711568059,1,16,28
-1.3607312765556991,1,16,29
-0.7532860324595014,1,16,30
-0.5221167449012675,1,16,31
-0.349386431196636,1,16,32
-0.18352224092983332,1,16,33
0.35270644042809285,1,16,34
-0.15357901081139938,1,16,35
-0.4849510739694713,1,16,36
-1.0085083063209002,1,16,37
0.6425772980407016,1,16,38
0.6239003315938272,1,16,39
-2.109500139427806,6,17,18
-1.9138262416751204,5,17,19
-1.7708990218200098,5,17,20
-0.9953563330915077,2,17,21
-1.397105297245661,2,17,22
-2.270076687049495,2,17,23
-1.3525254948219483,1,17,24
-0.9087854150902672,1,17,25
-0.7957417144635055,1,17,26
-0.8952184817932175,1,17,27
-1.1605913711568059,1,17,28
-0.8390295608562429,1,17,29
-0.7532860324595014,1,17,30
-0.8431483624689802,1,17,31
-0.6709732866717191,1,17,32
-0.18352224092983332,1,17,33
0.055119894616152465,1,17,34
-0.4496700656018199,1,17,35
-0.4849510739694713,1,17,36
-0.4286475828425146,2,17,37
0.10603413616106183,2,17,38
0.6239003315938272,1,17,39
-3.1151862375848536,7,18,19
-1.5553715653814644,5,18,20
-1.9085417469438073,4,18,21
-2.0086112647929246,2,18,22
-2.270076687049495,2,18,23
-1.9248570634993505,2,18,24
-1.777422609559961,2,18,25
-0.7957417144635055,1,18,26
-0.8952184817932175,1,18,27
-0.6378353150009498,1,18,28
-0.8390295608562429,1,18,29
-1.0735745612854686,1,18,30
-0.8431483624689802,1,18,31
-0.9655360366446882,1,18,32
-0.4795248479252643,1,18,33
0.055119894616152465,1,18,34
-0.4496700656018199,1,18,35
0.4980500665290908,1,18,36
-0.1309407302208132,2,18,37
0.32551271984499985,1,18,38
0.7597994400956753,1,18,39
0.2371860566829883,1,18,40
-1.7335376892672203,6,19,20
-0.6640514655082095,4,19,21
-1.8745090789272951,2,19,22
-2.1359673074394854,2,19,23
-0.9632909623111721,2,19,24
-0.9087854150902672,1,19,25
-0.7605704574968923,1,19,26
-0.8952184817932175,1,19,27
-0.6378353150009498,1,19,28
-1.1590424689399297,1,19,29
-1.0735745612854686,1,19,30
-1.1372025331822573,1,19,31
-0.9655360366446882,1,19,32
-0.4795248479252643,1,19,33
1.0434348449273911,1,19,34
0.533678208105839,1,19,35
0.7587354518546703,1,19,36
0.13375861419830226,2,19,37
0.10603413616106183,2,19,38
0.7597994400956753,1,19,39
0.2371860566829883,1,19,40
-1.0299820414833314,6,20,21
-1.7651297532124788,3,20,22
-1.674631041581059,2,20,23
-1.0486324849187403,2,20,24
-0.8736540779375283,1,20,25
-0.7605704574968923,1,20,26
-0.3710644367019208,1,20,27
-0.6378353150009498,1,20,28
-1.1590424689399297,1,20,29
-1.366948087689079,1,20,30
-1.1372025331822573,1,20,31
-0.9655360366446882,1,20,32
0.50352968172931,1,20,33
1.3055294173856142,1,20,34
0.7944556508570355,1,20,35
0.6609784323575723,1,20,36
0.1314160588870874,1,20,37
-0.2955325552062539,2,20,38
1.2272923733420253,1,20,39
0.45089117591644445,1,20,40
