real_profitability,order_sum,indicator_1,indicator_2
-1.8275786826362186,2,3,33
-19.611530300874684,19,3,34
-19.611530300874684,19,3,35
-19.611530300874684,19,3,36
-19.611530300874684,19,3,37
-19.611530300874684,19,3,38
-19.611530300874684,19,3,39
-20.25715632364478,20,3,40
-19.611530300874684,19,3,41
-18.708838186780735,18,3,42
-17.902390431903548,17,3,43
-17.267504328269638,16,3,44
-16.2714194918743,15,3,45
-15.280666658813667,14,3,46
-13.994850237730079,13,3,47
-13.3170183281891,12,3,48
-12.505218779607844,11,3,49
-11.23530694960892,10,3,50
-9.755336684124806,9,3,51
-8.326608287414704,8,3,52
-7.1230205702881415,7,3,53
-5.985845781868845,6,3,54
-4.288399152231965,5,3,55
-3.236362797490105,4,3,56
-2.3336706833961514,3,3,57
-1.5727364111430115,2,3,58
-0.8091237236329315,1,3,59
-5.307574333967651,11,4,5
-3.568012097128677,8,4,6
-3.1754505690241386,7,4,7
-2.453313439454566,6,4,8
1.0708720342662938,5,4,9
1.6945873355579733,5,4,10
15.622338048330022,31,4,11
15.622338048330022,31,4,12
-1.2854275466470222,3,4,13
-0.9408407356323601,3,4,14
-1.0947845819918647,3,4,15
-1.4792327817305426,3,4,16
-2.088794015461077,3,4,17
-2.0033661689883377,3,4,18
-1.9435861898166937,3,4,19
-1.856240952862723,3,4,20
-2.1328768798168998,3,4,21
-1.9688564906561177,3,4,22
-1.8782992383060986,3,4,23
-0.981630161608797,2,4,24
-1.1990727548771871,2,4,25
-1.0854425400619672,2,4,26
-1.2207413911742577,2,4,27
-1.4873969714167556,2,4,28
-20.074947831539518,19,4,29
-19.989658266718294,19,4,30
-19.759712890028815,19,4,31
-19.587897085818675,19,4,32
-20.536416869416954,20,4,33
-19.611530300874684,19,4,34
-19.611530300874684,19,4,35
-19.611530300874684,19,4,36
-19.611530300874684,19,4,37
-20.25715632364478,20,4,38
-20.25715632364478,20,4,39
-20.25715632364478,20,4,40
-19.611530300874684,19,4,41
-18.708838186780735,18,4,42
-17.902390431903548,17,4,43
-17.267504328269638,16,4,44
-16.2714194918743,15,4,45
